Date,Open,High,Low,Close,Volume,QuoteVolume
"9/11/2022, 12:00:00 AM",21647.21000000,21666.22000000,21637.01000000,21652.68000000,348.00521000,1662854459999
"9/11/2022, 12:01:00 AM",21652.68000000,21660.58000000,21650.28000000,21655.31000000,132.51217000,1662854519999
"9/11/2022, 12:02:00 AM",21655.31000000,21661.67000000,21644.68000000,21660.77000000,147.52758000,1662854579999
"9/11/2022, 12:03:00 AM",21660.04000000,21679.95000000,21660.04000000,21661.41000000,194.46260000,1662854639999
"9/11/2022, 12:04:00 AM",21661.41000000,21662.65000000,21647.18000000,21655.69000000,241.24041000,1662854699999
"9/11/2022, 12:05:00 AM",21655.69000000,21674.81000000,21651.63000000,21670.27000000,174.13458000,1662854759999
"9/11/2022, 12:06:00 AM",21669.52000000,21671.82000000,21660.57000000,21664.17000000,134.49777000,1662854819999
"9/11/2022, 12:07:00 AM",21665.14000000,21676.08000000,21659.25000000,21674.83000000,111.57770000,1662854879999
"9/11/2022, 12:08:00 AM",21674.83000000,21682.60000000,21668.79000000,21672.96000000,178.04496000,1662854939999
"9/11/2022, 12:09:00 AM",21674.02000000,21675.85000000,21666.72000000,21671.21000000,108.82584000,1662854999999
"9/11/2022, 12:10:00 AM",21670.44000000,21672.45000000,21630.76000000,21644.92000000,342.81540000,1662855059999
"9/11/2022, 12:11:00 AM",21645.60000000,21645.67000000,21583.71000000,21610.91000000,652.08972000,1662855119999
"9/11/2022, 12:12:00 AM",21609.49000000,21633.08000000,21603.64000000,21630.92000000,244.56653000,1662855179999
"9/11/2022, 12:13:00 AM",21629.57000000,21634.44000000,21624.21000000,21626.12000000,180.03090000,1662855239999
"9/11/2022, 12:14:00 AM",21627.07000000,21637.20000000,21622.29000000,21631.35000000,146.38984000,1662855299999
"9/11/2022, 12:15:00 AM",21631.49000000,21640.00000000,21628.01000000,21632.93000000,181.12999000,1662855359999
"9/11/2022, 12:16:00 AM",21632.93000000,21646.19000000,21626.60000000,21628.14000000,196.12112000,1662855419999
"9/11/2022, 12:17:00 AM",21628.14000000,21638.72000000,21625.00000000,21630.90000000,168.38157000,1662855479999
"9/11/2022, 12:18:00 AM",21632.05000000,21632.16000000,21616.87000000,21621.97000000,140.31942000,1662855539999
"9/11/2022, 12:19:00 AM",21621.29000000,21621.97000000,21602.28000000,21609.17000000,220.42267000,1662855599999
"9/11/2022, 12:20:00 AM",21609.17000000,21618.99000000,21607.49000000,21614.21000000,129.35856000,1662855659999
"9/11/2022, 12:21:00 AM",21613.12000000,21625.74000000,21612.17000000,21616.39000000,102.30643000,1662855719999
"9/11/2022, 12:22:00 AM",21616.39000000,21621.61000000,21611.23000000,21617.41000000,103.50109000,1662855779999
"9/11/2022, 12:23:00 AM",21618.10000000,21619.92000000,21607.58000000,21610.85000000,108.45173000,1662855839999
"9/11/2022, 12:24:00 AM",21611.39000000,21621.74000000,21606.48000000,21610.86000000,147.80784000,1662855899999
"9/11/2022, 12:25:00 AM",21610.86000000,21629.80000000,21610.16000000,21629.53000000,102.48794000,1662855959999
"9/11/2022, 12:26:00 AM",21629.53000000,21637.28000000,21622.24000000,21629.93000000,175.02147000,1662856019999
"9/11/2022, 12:27:00 AM",21629.93000000,21631.87000000,21617.92000000,21618.30000000,116.24960000,1662856079999
"9/11/2022, 12:28:00 AM",21619.39000000,21632.63000000,21618.21000000,21620.33000000,110.46334000,1662856139999
"9/11/2022, 12:29:00 AM",21621.02000000,21629.69000000,21619.24000000,21629.20000000,88.36531000,1662856199999
"9/11/2022, 12:30:00 AM",21628.23000000,21634.83000000,21628.19000000,21631.63000000,117.28423000,1662856259999
"9/11/2022, 12:31:00 AM",21630.77000000,21640.95000000,21626.26000000,21628.15000000,142.37060000,1662856319999
"9/11/2022, 12:32:00 AM",21628.15000000,21628.96000000,21603.76000000,21605.36000000,171.00303000,1662856379999
"9/11/2022, 12:33:00 AM",21605.36000000,21607.36000000,21585.31000000,21588.86000000,200.97392000,1662856439999
"9/11/2022, 12:34:00 AM",21588.13000000,21593.87000000,21569.50000000,21582.22000000,215.09300000,1662856499999
"9/11/2022, 12:35:00 AM",21582.22000000,21590.34000000,21575.55000000,21581.86000000,168.03253000,1662856559999
"9/11/2022, 12:36:00 AM",21582.65000000,21586.25000000,21574.60000000,21579.82000000,130.28265000,1662856619999
"9/11/2022, 12:37:00 AM",21579.20000000,21586.72000000,21565.02000000,21569.61000000,182.99072000,1662856679999
"9/11/2022, 12:38:00 AM",21569.61000000,21591.46000000,21567.56000000,21587.19000000,195.73846000,1662856739999
"9/11/2022, 12:39:00 AM",21587.19000000,21588.21000000,21575.89000000,21580.74000000,95.62099000,1662856799999
"9/11/2022, 12:40:00 AM",21580.37000000,21589.00000000,21545.81000000,21560.80000000,235.17427000,1662856859999
"9/11/2022, 12:41:00 AM",21560.80000000,21582.00000000,21560.65000000,21575.92000000,204.59949000,1662856919999
"9/11/2022, 12:42:00 AM",21576.54000000,21576.93000000,21563.00000000,21568.36000000,122.56508000,1662856979999
"9/11/2022, 12:43:00 AM",21569.01000000,21574.85000000,21564.87000000,21570.30000000,113.12719000,1662857039999
"9/11/2022, 12:44:00 AM",21569.75000000,21575.29000000,21563.97000000,21565.58000000,123.69331000,1662857099999
"9/11/2022, 12:45:00 AM",21566.18000000,21578.74000000,21559.61000000,21559.62000000,164.31137000,1662857159999
"9/11/2022, 12:46:00 AM",21559.62000000,21564.10000000,21551.14000000,21551.44000000,102.24912000,1662857219999
"9/11/2022, 12:47:00 AM",21551.44000000,21564.66000000,21550.26000000,21558.63000000,128.25938000,1662857279999
"9/11/2022, 12:48:00 AM",21558.63000000,21563.48000000,21551.50000000,21557.53000000,122.65425000,1662857339999
"9/11/2022, 12:49:00 AM",21558.48000000,21567.83000000,21551.22000000,21566.04000000,149.89309000,1662857399999
"9/11/2022, 12:50:00 AM",21566.03000000,21568.31000000,21558.55000000,21563.01000000,126.17319000,1662857459999
"9/11/2022, 12:51:00 AM",21563.01000000,21585.00000000,21561.26000000,21572.73000000,198.42562000,1662857519999
"9/11/2022, 12:52:00 AM",21573.32000000,21575.42000000,21570.95000000,21572.12000000,107.25213000,1662857579999
"9/11/2022, 12:53:00 AM",21572.12000000,21581.08000000,21567.50000000,21575.52000000,123.31378000,1662857639999
"9/11/2022, 12:54:00 AM",21575.52000000,21586.87000000,21574.17000000,21582.14000000,170.60834000,1662857699999
