Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03 00:00:00-05:00,148.25,148.25,143.875,145.4375,95.74642944335938,8164300
2000-01-04 00:00:00-05:00,143.53125,144.0625,139.640625,139.75,92.002197265625,8089800
2000-01-05 00:00:00-05:00,139.9375,141.53125,137.25,140.0,92.16677856445312,12177900
2000-01-06 00:00:00-05:00,139.625,141.5,137.75,137.75,90.68550872802734,6227200
2000-01-07 00:00:00-05:00,140.3125,145.75,140.0625,145.75,95.9521713256836,8066500
2000-01-10 00:00:00-05:00,146.25,146.90625,145.03125,146.25,96.28134155273438,5741700
2000-01-11 00:00:00-05:00,145.8125,146.09375,143.5,144.5,95.12931823730469,7503700
2000-01-12 00:00:00-05:00,144.59375,144.59375,142.875,143.0625,94.18293762207031,6907700
2000-01-13 00:00:00-05:00,144.46875,145.75,143.28125,145.0,95.4584732055664,5158300
2000-01-14 00:00:00-05:00,146.53125,147.46875,145.96875,146.96875,96.75447845458984,7437300
2000-01-18 00:00:00-05:00,145.34375,146.625,145.1875,145.8125,95.99333953857422,6488500
2000-01-19 00:00:00-05:00,145.3125,147.0,145.0,147.0,96.77510833740234,6157900
2000-01-20 00:00:00-05:00,146.96875,146.96875,143.8125,144.75,95.29386901855469,5800100
2000-01-21 00:00:00-05:00,145.5,145.5,144.0625,144.4375,95.08811950683594,6244800
2000-01-24 00:00:00-05:00,145.65625,145.84375,139.40625,140.34375,92.3930892944336,7896900
2000-01-25 00:00:00-05:00,140.515625,141.9375,139.0,141.9375,93.44229125976562,9942500
2000-01-26 00:00:00-05:00,141.0,141.546875,140.09375,140.8125,92.70166015625,5158100
2000-01-27 00:00:00-05:00,141.84375,142.21875,138.125,140.25,92.33135223388672,10922700
2000-01-28 00:00:00-05:00,139.4375,140.0625,135.53125,135.875,89.45115661621094,11916200
2000-01-31 00:00:00-05:00,135.8125,139.671875,135.0,139.5625,91.87875366210938,10768700
2000-02-01 00:00:00-05:00,139.75,141.6875,138.53125,140.9375,92.7839584350586,8419900
2000-02-02 00:00:00-05:00,141.28125,142.25,140.375,141.0625,92.86627197265625,6205900
2000-02-03 00:00:00-05:00,140.875,143.25,140.0,143.1875,94.26522064208984,7997500
2000-02-04 00:00:00-05:00,143.1875,144.0,142.125,142.59375,93.87433624267578,4925400
2000-02-07 00:00:00-05:00,142.5625,142.78125,141.4375,142.375,93.7303237915039,5845800
2000-02-08 00:00:00-05:00,143.96875,144.5625,143.625,144.3125,95.00586700439453,4936400
2000-02-09 00:00:00-05:00,144.46875,144.46875,141.265625,141.28125,93.0102310180664,8511500
2000-02-10 00:00:00-05:00,141.625,142.5625,140.875,141.5625,93.1954116821289,6690600
2000-02-11 00:00:00-05:00,141.84375,141.9375,138.03125,138.6875,91.30268859863281,9849800
2000-02-14 00:00:00-05:00,139.78125,139.78125,138.3125,139.5,91.83763885498047,8528800
2000-02-15 00:00:00-05:00,139.25,141.21875,137.796875,141.078125,92.87654876708984,11078300
2000-02-16 00:00:00-05:00,140.375,140.9375,138.796875,139.0,91.50846862792969,8845400
2000-02-17 00:00:00-05:00,140.4375,140.4375,138.21875,138.28125,91.0352783203125,7584200
2000-02-18 00:00:00-05:00,138.875,138.875,134.625,135.3125,89.08086395263672,9409200
2000-02-22 00:00:00-05:00,135.1875,136.34375,133.53125,134.96875,88.85453033447266,16415400
2000-02-23 00:00:00-05:00,135.625,137.46875,134.5,136.5625,89.90373229980469,12119000
2000-02-24 00:00:00-05:00,136.6875,137.03125,133.09375,133.8125,88.09332275390625,17375000
2000-02-25 00:00:00-05:00,135.1875,136.71875,133.125,133.328125,87.77448272705078,10559900
2000-02-28 00:00:00-05:00,133.375,136.6875,132.71875,136.125,89.61573028564453,13397800
2000-02-29 00:00:00-05:00,136.0625,137.4375,135.75,137.4375,90.47978210449219,8242500
2000-03-01 00:00:00-05:00,137.625,139.0,137.21875,138.4375,91.13811492919922,6868000
2000-03-02 00:00:00-05:00,138.6875,139.125,137.34375,138.53125,91.19985961914062,7600200
2000-03-03 00:00:00-05:00,140.4375,141.71875,139.71875,141.125,92.90743255615234,12770300
2000-03-06 00:00:00-05:00,140.8125,141.34375,138.75,139.75,92.002197265625,11967100
2000-03-07 00:00:00-05:00,140.0,140.15625,135.21875,137.046875,90.22264862060547,20062000
2000-03-08 00:00:00-05:00,136.46875,137.84375,135.03125,136.875,90.1094970703125,11808500
2000-03-09 00:00:00-05:00,137.25,140.875,136.125,140.875,92.7428207397461,5500900
2000-03-10 00:00:00-05:00,140.1875,142.0,139.53125,140.125,92.24909210205078,7924600
2000-03-13 00:00:00-05:00,136.6875,140.46875,135.6875,138.59375,91.2409896850586,10540500
2000-03-14 00:00:00-05:00,139.28125,140.09375,136.15625,136.625,89.94488525390625,8263900
2000-03-15 00:00:00-05:00,136.875,140.4375,136.0625,139.8125,92.0433349609375,10300800
2000-03-16 00:00:00-05:00,141.625,146.84375,140.875,146.34375,96.34308624267578,25601400
2000-03-17 00:00:00-05:00,145.8125,148.0,145.4375,146.9375,96.9798583984375,10272900
2000-03-20 00:00:00-05:00,146.875,147.34375,144.78125,146.1875,96.48480224609375,12502300
2000-03-21 00:00:00-05:00,145.53125,149.75,144.5,149.1875,98.46488189697266,13612600
2000-03-22 00:00:00-05:00,149.5625,150.84375,148.6875,150.09375,99.06295013427734,8260000
2000-03-23 00:00:00-05:00,149.15625,153.46875,149.15625,152.65625,100.75421905517578,11654500
2000-03-24 00:00:00-05:00,152.875,155.75,151.71875,153.5625,101.35237121582031,11462900
2000-03-27 00:00:00-05:00,153.375,153.78125,151.8125,151.9375,100.27986907958984,8798600
2000-03-28 00:00:00-05:00,151.25,152.984375,150.59375,151.0625,99.70235443115234,6334400
2000-03-29 00:00:00-05:00,151.5625,152.484375,149.65625,151.21875,99.80548095703125,6747500
2000-03-30 00:00:00-05:00,150.15625,151.921875,147.125,148.6875,98.13481903076172,9491900
2000-03-31 00:00:00-05:00,149.625,152.3125,148.4375,150.375,99.24862670898438,9249100
2000-04-03 00:00:00-04:00,150.125,151.25,148.6875,151.25,99.8260726928711,8508200
2000-04-04 00:00:00-04:00,151.75,153.0,141.390625,150.125,99.08356475830078,19585500
2000-04-05 00:00:00-04:00,147.875,150.8125,147.625,149.1875,98.46488189697266,8387200
2000-04-06 00:00:00-04:00,150.25,151.6875,149.0,150.484375,99.32080078125,6378500
2000-04-07 00:00:00-04:00,151.5625,152.125,150.5,151.4375,99.94984436035156,6023600
2000-04-10 00:00:00-04:00,151.75,153.109375,150.3125,150.84375,99.5579833984375,9624200
2000-04-11 00:00:00-04:00,150.0,151.625,148.375,150.40625,99.26921844482422,9006400
2000-04-12 00:00:00-04:00,150.375,151.15625,146.15625,146.28125,96.54671478271484,10779200
2000-04-13 00:00:00-04:00,147.46875,148.15625,143.78125,144.25,95.20606994628906,12225800
2000-04-14 00:00:00-04:00,142.625,142.8125,133.5,136.0,89.76097869873047,29604000
2000-04-17 00:00:00-04:00,135.1875,140.75,134.6875,140.75,92.89604949951172,23918200
2000-04-18 00:00:00-04:00,140.5625,144.46875,139.78125,144.46875,95.35041809082031,11069200
2000-04-19 00:00:00-04:00,144.5,145.125,142.53125,143.125,94.4635238647461,6553700
2000-04-20 00:00:00-04:00,143.5625,143.9375,142.375,143.8125,94.91728973388672,8537600
2000-04-24 00:00:00-04:00,141.5,143.3125,140.5,142.25,93.88603210449219,12893100
